,CAPTAIN,UTIL1,UTIL2,UTIL3,UTIL4,UTIL5,PRJ,PRJ*MIN,COST
189,Jrue Holiday,Khris Middleton,Chris Paul,Deandre Ayton,Mikal Bridges,Langston Galloway,226.59375,8.123535061458334,49400.0
190,Khris Middleton,Devin Booker,Jrue Holiday,Deandre Ayton,Mikal Bridges,E'Twaun Moore,226.575,8.569432666666668,49800.0
191,Chris Paul,Khris Middleton,Jrue Holiday,Deandre Ayton,Jae Crowder,Thanasis Antetokounmpo,226.57187500000003,7.902937992187502,49300.0
192,Jae Crowder,Khris Middleton,Chris Paul,Jrue Holiday,Deandre Ayton,Cameron Johnson,226.56875,7.842777834375001,49000.0
193,Jrue Holiday,Khris Middleton,Chris Paul,Devin Booker,Cameron Payne,Thanasis Antetokounmpo,226.54375000000005,8.092740336458334,49200.0
194,Jrue Holiday,Khris Middleton,Chris Paul,Brook Lopez,Jae Crowder,Cameron Johnson,226.51875000000004,7.8739606572916685,49800.0
195,Jrue Holiday,Khris Middleton,Chris Paul,Deandre Ayton,Jae Crowder,Jeff Teague,226.50208333333336,8.097617737847223,49600.0
196,Jrue Holiday,Khris Middleton,Chris Paul,Devin Booker,P.J. Tucker,Axel Toupane,226.49375000000003,8.337131028125002,49000.0
197,Chris Paul,Khris Middleton,Devin Booker,Jrue Holiday,Cameron Johnson,Jeff Teague,226.48020833333337,7.843979310243057,48300.0
198,Khris Middleton,Chris Paul,Devin Booker,Jrue Holiday,Pat Connaughton,Axel Toupane,226.45625,8.262593319791668,50000.0
199,Khris Middleton,Chris Paul,Devin Booker,Jrue Holiday,Cameron Payne,Justin Jackson,226.45625,8.215851603125001,49800.0
